TPSA MW FC BJ
92.76 418.45 0.2174 1.6239
42.16 369.47 0.1667 1.5507
77.15 491.59 0.3571 1.5331
68.29 340.83 0.2667 2.2173
93.70 479.58 0.4615 1.6206
92.55 378.17 0.0000 1.9446
68.19 366.34 0.3529 1.7794
46.32 295.39 0.4706 1.9588
94.04 288.33 0.1538 1.9676
86.28 377.40 0.2000 1.4236
41.49 265.40 0.6250 2.1574
59.23 365.41 0.2857 1.6028
70.83 460.58 0.4074 1.3487
47.56 335.40 0.1905 1.4359
41.29 349.48 0.4091 1.4412
96.77 330.39 0.5625 1.6643
21.70 377.46 0.2500 1.6847
77.84 317.26 0.4286 2.3715
81.00 372.42 0.4000 1.8059
72.37 369.40 0.3500 1.5343
68.82 470.62 0.2500 1.7685
90.39 403.44 0.1739 1.3427
71.41 401.48 0.4091 2.3338
84.30 458.61 0.3636 1.8719
68.23 411.50 0.4583 1.2921
55.13 238.25 0.0000 1.9797
58.20 301.17 0.3846 1.9353
55.40 315.39 0.1765 2.1032
38.33 281.36 0.1667 1.8373
101.05 386.41 0.0556 1.7452
84.94 404.49 0.3500 1.8817
84.94 460.94 0.1364 1.6892
47.56 383.19 0.1333 2.1838
87.22 433.56 0.5200 1.2254
65.08 339.79 0.1765 1.9558
54.46 343.47 0.7000 1.5285
26.71 440.18 0.3333 1.5532
74.61 319.36 0.3750 1.9960
29.10 291.32 0.0000 1.8979
31.23 359.40 0.0870 1.6316
66.61 236.27 0.5000 1.9240
44.12 299.16 0.2308 1.7628
44.12 294.35 0.2222 1.7411
56.75 454.57 0.3214 1.3538
71.52 383.47 0.3333 1.6323
41.15 339.41 0.3500 1.2743
103.78 382.40 0.0526 1.9338
92.10 363.42 0.2500 1.8437
95.13 487.56 0.1481 1.6385
73.39 278.36 0.6154 1.9940
70.75 283.33 0.1818 2.1127
35.53 400.07 0.1333 2.3579
65.07 411.43 0.2174 2.0271
81.18 373.48 0.4737 1.9415
49.41 342.83 0.2632 1.8437
87.00 473.52 0.2143 1.4053
72.36 361.44 0.2727 1.7056
72.19 380.19 0.0667 2.2783
60.56 416.91 0.2105 1.5489
76.66 230.26 0.8000 2.2291
47.56 285.34 0.2353 2.0246
92.55 347.40 0.2500 1.8525
75.27 392.55 0.3158 1.8505
39.92 381.50 0.0833 1.8497
75.40 333.78 0.3333 1.6279
61.88 387.52 0.6364 1.5148
37.38 347.45 0.3684 1.5584
32.34 340.85 0.2500 1.9208
43.86 427.55 0.3333 1.3627
85.17 468.56 0.2593 1.2656
41.57 239.32 0.3333 1.6407
92.94 343.41 0.2500 1.5103
38.82 372.56 0.6818 1.3224
71.34 491.37 0.0370 1.5925
99.85 487.32 0.0000 1.6523
77.69 367.40 0.3500 1.3925
27.74 277.41 0.6250 1.7264
75.71 474.65 0.4583 1.6374
71.84 273.34 0.3571 1.9076
70.25 438.60 0.4167 1.2724
60.03 434.48 0.4348 1.6019
64.22 329.79 0.3125 2.0042
44.81 427.63 0.7308 1.1782
29.10 344.25 0.1667 2.1315
67.43 403.28 0.2632 1.5459
75.94 470.55 0.2593 1.2878
67.23 374.87 0.4211 1.3965
73.91 374.44 0.1304 1.7125
84.94 354.43 0.5625 1.6222
78.95 417.53 0.3810 1.6108
82.61 438.57 0.6000 1.4088
80.75 391.42 0.3043 1.4676
85.93 391.52 0.4348 1.4508
59.39 478.54 0.4783 1.2772
105.65 489.58 0.3704 1.3509
75.71 428.55 0.4348 1.6099
41.13 441.82 0.5789 1.3498
41.13 282.39 0.2778 1.9659
97.43 334.38 0.5000 2.7521
85.26 340.38 0.3333 1.4809
33.20 362.86 0.0909 2.1594
69.44 271.27 0.1333 2.0842
67.15 426.52 0.3333 1.3315
70.16 417.53 0.3810 1.6835
89.03 445.55 0.2500 1.3321
72.22 328.32 0.2941 1.4026
27.69 258.32 0.2500 1.7935
115.81 359.43 0.5000 1.7994
57.61 185.22 0.7778 2.2475
47.56 295.34 0.2778 1.5435
79.46 405.48 0.0455 1.5505
52.49 350.42 0.2857 1.5009
